"sample_id","module","eg_score","module_size","module_coverage_abs","module_coverage_per"
"upload_R1CPTC0T672_672_0","rKIDNEY_265",0.0633648679261754,9,9,100
"upload_R1CPTC0T672_672_0","rKIDNEY_266",-0.774430342614945,9,9,100
"upload_R1CPTC0T672_672_0","rKIDNEY_278",-0.67006386415787,9,9,100
"upload_R1CPTC0T672_672_0","rKIDNEY_279",-1.68242304923667,9,9,100
"upload_R1CPTC0T672_672_0","rKIDNEY_283",-1.39699113783518,9,9,100
"upload_R1CPTC0T672_672_0","rKIDNEY_284",0.0443127283888807,9,9,100
"upload_R1CPTC0T672_672_0","rKIDNEY_289",0.825858531961904,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_290",-0.975338412519991,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_292",0.816512662339598,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_295",0.820072105831758,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_297",0.753703251964448,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_300",-0.624308400896541,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_302",0.123619974679529,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_304",-0.953264912810978,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_305",-0.310966449745568,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_312",0.416100474354166,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_316",2.05585121020742,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_317",-0.0818274665268932,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_319",0.314752817139696,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_320",-1.55326597075066,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_321",-0.180727306173076,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_323",1.14815807250827,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_324",-0.733271953882536,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_325",-0.00808542402661852,8,8,100
"upload_R1CPTC0T672_672_0","rKIDNEY_327",0.238348850280401,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_330",-1.15446051186668,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_332",-0.0410804281937133,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_334",0.266842331062281,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_336",-0.980785239405259,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_337",1.11355846968862,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_338",1.13318837031026,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_340",-2.47703497936744,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_341",-1.6461649851597,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_342",0.538476786295399,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_347",1.32318444214673,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_348",0.441791352494524,7,7,100
"upload_R1CPTC0T672_672_0","rKIDNEY_352",1.09744559304386,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_353",0.905072198310851,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_354",-0.215431725177471,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_356",0.469898438797682,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_357",0.62911440658813,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_358",0.140433078817165,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_361",2.26589010755261,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_362",0.320874523502628,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_364",1.78060982173806,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_367",1.92410843279287,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_370",0.352169087666473,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_373",-0.364989574559788,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_374",-1.63212930784131,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_375",1.27894560150144,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_378",-1.86268677230615,6,6,100
"upload_R1CPTC0T672_672_0","rKIDNEY_381",0.396624512239042,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_383",0.923013987669427,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_384",0.0818371041007394,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_385",1.39023891543985,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_386",0.436567321462296,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_387",-0.973329724254755,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_389",-0.985188389084744,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_390",0.562524200156148,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_392",2.23171496159777,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_393",-0.043295696658252,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_397",1.65594680051457,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_399",-1.45730451752507,5,5,100
"upload_R1CPTC0T672_672_0","rKIDNEY_56",-0.0498913577855118,24,24,100
"upload_R1CPTC0T672_672_0","rKIDNEY_67",-0.323561404679936,23,23,100
"upload_R1CPTC0T672_672_0","rKIDNEY_71",-0.0824795702314901,22,22,100
"upload_R1CPTC0T672_672_0","rKIDNEY_72m",-0.409247089269188,39,39,100
"upload_R1CPTC0T672_672_0","rKIDNEY_83",-0.475768558779261,19,19,100
"upload_R1CPTC0T672_672_0","rKIDNEY_86",-0.811251881497719,18,18,100
"upload_R1CPTC0T672_672_0","rKIDNEY_92",-0.0555266466708383,18,18,100
"upload_R1CPTC5T120_120_5","rKIDNEY_108",2.06371072483061,16,16,100
"upload_R1CPTC5T120_120_5","rKIDNEY_116",-0.018982442740783,16,16,100
"upload_R1CPTC5T120_120_5","rKIDNEY_119",-0.623346820733572,16,16,100
